track_id,is_dev,target_id,method_id,metric_id,target,method,metric,score,title,genre,filename
12,0,2,0,2,drums,CHA,SDR,2.8053646304740982,Dark Ride - Burning Bridges,Heavy Metal,12_CHA_drums.m4a
12,0,3,0,2,other,CHA,SDR,-1.5190283685173347,Dark Ride - Burning Bridges,Heavy Metal,12_CHA_other.m4a
12,0,4,0,2,vocals,CHA,SDR,1.8612046825212687,Dark Ride - Burning Bridges,Heavy Metal,12_CHA_vocals.m4a
13,0,0,0,2,accompaniment,CHA,SDR,2.530023711298252,Drumtracks - Ghost Bitch,Pop/Rock,13_CHA_accompaniment.m4a
13,0,1,0,2,bass,CHA,SDR,1.6721260674627882,Drumtracks - Ghost Bitch,Pop/Rock,13_CHA_bass.m4a
13,0,2,0,2,drums,CHA,SDR,-2.889696975885249,Drumtracks - Ghost Bitch,Pop/Rock,13_CHA_drums.m4a
13,0,3,0,2,other,CHA,SDR,0.8375032018448648,Drumtracks - Ghost Bitch,Pop/Rock,13_CHA_other.m4a
13,0,4,0,2,vocals,CHA,SDR,1.9906712632391217,Drumtracks - Ghost Bitch,Pop/Rock,13_CHA_vocals.m4a
14,0,0,0,2,accompaniment,CHA,SDR,3.831444336997643,Fergessen - Back From The Start,Pop/Rock,14_CHA_accompaniment.m4a
14,0,1,0,2,bass,CHA,SDR,-1.0297093081081354,Fergessen - Back From The Start,Pop/Rock,14_CHA_bass.m4a
14,0,2,0,2,drums,CHA,SDR,3.1291874375540965,Fergessen - Back From The Start,Pop/Rock,14_CHA_drums.m4a
14,0,3,0,2,other,CHA,SDR,-1.8571684359737048,Fergessen - Back From The Start,Pop/Rock,14_CHA_other.m4a
14,0,4,0,2,vocals,CHA,SDR,1.3155370635677341,Fergessen - Back From The Start,Pop/Rock,14_CHA_vocals.m4a
15,0,0,0,2,accompaniment,CHA,SDR,4.100471572126919,Fergessen - The Wind,Pop/Rock,15_CHA_accompaniment.m4a
15,0,1,0,2,bass,CHA,SDR,-3.334344217519829,Fergessen - The Wind,Pop/Rock,15_CHA_bass.m4a
